#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Drd2	Ccl9	2106210	2094627	10090.ENSMUSP00000075170	10090.ENSMUSP00000019266	0	0	0	0	0	0.062	0.9	0.056	0.903
Gpr84	Avp	2106869	2099466	10090.ENSMUSP00000078753	10090.ENSMUSP00000035551	0	0	0	0	0	0.062	0.9	0.051	0.903
Crhr1	Gpr84	2108515	2106869	10090.ENSMUSP00000091455	10090.ENSMUSP00000078753	0	0	0	0	0.049	0.048	0.9	0.063	0.903
Adora2a	Avp	2110683	2099466	10090.ENSMUSP00000101060	10090.ENSMUSP00000035551	0	0	0	0	0	0.062	0.9	0.051	0.903
Drd2	Ccl5	2106210	2100220	10090.ENSMUSP00000075170	10090.ENSMUSP00000039600	0	0	0	0	0	0.062	0.9	0	0.902
Gal	Ccl6	2096432	2094606	10090.ENSMUSP00000025842	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0.067	0.902
Drd2	Cxcl10	2106210	2101692	10090.ENSMUSP00000075170	10090.ENSMUSP00000047646	0	0	0	0	0	0.062	0.9	0.047	0.902
Actn2	Timp1	2104973	2094016	10090.ENSMUSP00000067708	10090.ENSMUSP00000009530	0	0	0	0	0	0	0.9	0.062	0.902
Gng13	Avp	2112047	2099466	10090.ENSMUSP00000110760	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0.063	0.902
Penk	Ccl5	2104856	2100220	10090.ENSMUSP00000066822	10090.ENSMUSP00000039600	0	0	0	0	0	0	0.9	0.069	0.902
Gh	Ptpn6	2110157	2093598	10090.ENSMUSP00000099360	10090.ENSMUSP00000004377	0	0	0	0	0	0	0.9	0.067	0.902
Adcy5	Avp	2112021	2099466	10090.ENSMUSP00000110563	10090.ENSMUSP00000035551	0	0	0	0	0.055	0	0.9	0	0.901
Fermt3	Timp1	2099882	2094016	10090.ENSMUSP00000037858	10090.ENSMUSP00000009530	0	0	0	0	0.052	0	0.9	0	0.901
Gng7	Gng5	2108316	2108023	10090.ENSMUSP00000089936	10090.ENSMUSP00000087485	0	0	0	0.953	0	0	0.9	0.33	0.901
P2ry6	Trh	2103110	2093765	10090.ENSMUSP00000055697	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0.052	0.901
Drd2	C3	2106210	2096155	10090.ENSMUSP00000075170	10090.ENSMUSP00000024988	0	0	0	0	0	0.057	0.9	0	0.901
Pmch	Ccl6	2101077	2094606	10090.ENSMUSP00000044352	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Gal	Ccl9	2096432	2094627	10090.ENSMUSP00000025842	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Gm11127	H2-K1	2111846	2096205	10090.ENSMUSP00000109371	10090.ENSMUSP00000025181	0	0	0	0.97	0	0	0.9	0	0.9
Ncf1	Mapk12	2111516	2107875	10090.ENSMUSP00000106906	10090.ENSMUSP00000086207	0	0	0	0	0	0.048	0.9	0	0.9
Pmch	Gal	2101077	2096432	10090.ENSMUSP00000044352	10090.ENSMUSP00000025842	0	0	0	0	0	0	0.9	0	0.9
Mapk12	Cyba	2107875	2094438	10090.ENSMUSP00000086207	10090.ENSMUSP00000017604	0	0	0	0	0	0	0.9	0	0.9
Avp	Ccl9	2099466	2094627	10090.ENSMUSP00000035551	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Hcrt	Ccl9	2103422	2094627	10090.ENSMUSP00000057578	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Ncf4	Mapk12	2108995	2107875	10090.ENSMUSP00000094084	10090.ENSMUSP00000086207	0	0	0	0	0	0	0.9	0	0.9
Actn2	Pf4	2104973	2098149	10090.ENSMUSP00000067708	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.9	0	0.9
Gnrh1	Ccl9	2111494	2094627	10090.ENSMUSP00000106724	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
P2ry6	Oxt	2103110	2097293	10090.ENSMUSP00000055697	10090.ENSMUSP00000028764	0	0	0	0	0	0	0.9	0	0.9
Ccl9	Trh	2094627	2093765	10090.ENSMUSP00000019266	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0	0.9
Gng7	Avp	2108316	2099466	10090.ENSMUSP00000089936	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0	0.9
Pmch	Pf4	2101077	2098149	10090.ENSMUSP00000044352	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.9	0	0.9
Gm11127	H2-T23	2111846	2110335	10090.ENSMUSP00000109371	10090.ENSMUSP00000099739	0	0	0	0.972	0	0	0.9	0	0.9
Avp	Ccl6	2099466	2094606	10090.ENSMUSP00000035551	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Penk	C3	2104856	2096155	10090.ENSMUSP00000066822	10090.ENSMUSP00000024988	0	0	0	0	0.042	0	0.9	0	0.9
Ifit3	Usp18	2110406	2098409	10090.ENSMUSP00000099889	10090.ENSMUSP00000032198	0	0	0	0	0.812	0.115	0	0.449	0.9
Gm11127	B2m	2111846	2110238	10090.ENSMUSP00000109371	10090.ENSMUSP00000099534	0	0	0	0	0	0	0.9	0	0.9
Lgals3bp	Pf4	2099471	2098149	10090.ENSMUSP00000035579	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.9	0	0.9
Gal	C3	2096432	2096155	10090.ENSMUSP00000025842	10090.ENSMUSP00000024988	0	0	0	0	0	0	0.9	0	0.9
Penk	Ccl9	2104856	2094627	10090.ENSMUSP00000066822	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Gpr84	Gpr83	2106869	2099109	10090.ENSMUSP00000078753	10090.ENSMUSP00000034408	0	0	0	0.623	0	0	0.9	0	0.9
Pf4	Gal	2098149	2096432	10090.ENSMUSP00000031320	10090.ENSMUSP00000025842	0	0	0	0	0	0	0.9	0	0.9
Penk	Ccl6	2104856	2094606	10090.ENSMUSP00000066822	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
H2-D1	Gm11127	2114543	2111846	10090.ENSMUSP00000134570	10090.ENSMUSP00000109371	0	0	0	0.972	0	0	0.9	0	0.9
Penk	Cxcl10	2104856	2101692	10090.ENSMUSP00000066822	10090.ENSMUSP00000047646	0	0	0	0	0	0	0.9	0	0.9
P2ry6	Nts	2103110	2094752	10090.ENSMUSP00000055697	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0	0.9
Fermt3	Serping1	2099882	2095997	10090.ENSMUSP00000037858	10090.ENSMUSP00000023994	0	0	0	0	0	0	0.9	0.041	0.9
Actn2	Srgn	2104973	2094813	10090.ENSMUSP00000067708	10090.ENSMUSP00000020271	0	0	0	0	0	0	0.9	0	0.9
Adora2a	Gpr84	2110683	2106869	10090.ENSMUSP00000101060	10090.ENSMUSP00000078753	0	0	0	0	0.043	0	0.9	0	0.9
Tac1	Ccl9	2108108	2094627	10090.ENSMUSP00000088175	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Nts	Ccl6	2094752	2094606	10090.ENSMUSP00000020040	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Drd2	Pf4	2106210	2098149	10090.ENSMUSP00000075170	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.9	0	0.9
Pmch	Ccl9	2101077	2094627	10090.ENSMUSP00000044352	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Nts	Ccl9	2094752	2094627	10090.ENSMUSP00000020040	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Hcrt	Ccl6	2103422	2094606	10090.ENSMUSP00000057578	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Actn2	Lgals3bp	2104973	2099471	10090.ENSMUSP00000067708	10090.ENSMUSP00000035579	0	0	0	0	0	0	0.9	0.049	0.9
Penk	Pf4	2104856	2098149	10090.ENSMUSP00000066822	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.9	0	0.9
Gnrh1	Ccl6	2111494	2094606	10090.ENSMUSP00000106724	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Psmb8	Pttg1	2096210	2094948	10090.ENSMUSP00000025196	10090.ENSMUSP00000020687	0	0	0	0	0.043	0	0.9	0	0.9
H2-T23	H2-Q4	2110335	2107098	10090.ENSMUSP00000099739	10090.ENSMUSP00000080159	0	0	0	0.972	0	0	0.9	0.177	0.9
Avp	Cd4	2099466	2096007	10090.ENSMUSP00000035551	10090.ENSMUSP00000024044	0	0	0	0	0	0	0.9	0	0.9
Gngt2	Avp	2101681	2099466	10090.ENSMUSP00000047586	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0	0.9
Gng5	Avp	2108023	2099466	10090.ENSMUSP00000087485	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0	0.9
P2ry6	Pmch	2103110	2101077	10090.ENSMUSP00000055697	10090.ENSMUSP00000044352	0	0	0	0	0	0	0.9	0	0.9
Ccl6	Trh	2094606	2093765	10090.ENSMUSP00000019071	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0	0.9
Hcrt	P2ry6	2103422	2103110	10090.ENSMUSP00000057578	10090.ENSMUSP00000055697	0	0	0	0	0	0	0.9	0	0.9
Oxt	Ccl9	2097293	2094627	10090.ENSMUSP00000028764	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0	0.9
Tac1	Ccl6	2108108	2094606	10090.ENSMUSP00000088175	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Gm11127	H2-Q4	2111846	2107098	10090.ENSMUSP00000109371	10090.ENSMUSP00000080159	0	0	0	0.967	0	0	0.9	0	0.9
Oxt	Ccl6	2097293	2094606	10090.ENSMUSP00000028764	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0	0.9
Psmb8	Gmnn	2096210	2093865	10090.ENSMUSP00000025196	10090.ENSMUSP00000006898	0	0	0	0	0.047	0	0.9	0	0.9
Fn1	Ptpn6	2102911	2093598	10090.ENSMUSP00000054499	10090.ENSMUSP00000004377	0	0	0	0	0	0.878	0	0.199	0.898
H2-Eb1	Cd4	2106011	2096007	10090.ENSMUSP00000074143	10090.ENSMUSP00000024044	0	0	0	0	0	0.489	0.8	0.058	0.895
Cxcl10	Ccl7	2101692	2095042	10090.ENSMUSP00000047646	10090.ENSMUSP00000021011	0	0	0	0	0.526	0	0.371	0.674	0.894
C1qc	Serping1	2099670	2095997	10090.ENSMUSP00000036747	10090.ENSMUSP00000023994	0	0	0	0	0.289	0	0.8	0.31	0.893
Fcgr3	Fcgr1	2114228	2097634	10090.ENSMUSP00000131938	10090.ENSMUSP00000029748	0	0	0	0.856	0.425	0	0.8	0.696	0.892
C1qb	Serping1	2100338	2095997	10090.ENSMUSP00000040246	10090.ENSMUSP00000023994	0	0	0	0	0.265	0	0.8	0.328	0.892
H2-D1	H2-Eb1	2114543	2106011	10090.ENSMUSP00000134570	10090.ENSMUSP00000074143	0	0	0	0	0.158	0.166	0.72	0.492	0.886
H2-Ab1	H2-K1	2100472	2096205	10090.ENSMUSP00000041008	10090.ENSMUSP00000025181	0	0	0	0.669	0.413	0.166	0.72	0.721	0.885
H2-Eb1	H2-K1	2106011	2096205	10090.ENSMUSP00000074143	10090.ENSMUSP00000025181	0	0	0	0	0.216	0.166	0.72	0.438	0.883
Ccl12	Ccl2	2093071	2093070	10090.ENSMUSP00000000194	10090.ENSMUSP00000000193	0	0	0	0.931	0.404	0	0.8	0.608	0.88
Rtp4	Usp18	2100490	2098409	10090.ENSMUSP00000041091	10090.ENSMUSP00000032198	0	0	0	0	0.836	0	0	0.29	0.879
Anxa2	S100a11	2099236	2097539	10090.ENSMUSP00000034756	10090.ENSMUSP00000029515	0	0	0	0	0.651	0.079	0	0.648	0.877
H2-D1	H2-Ab1	2114543	2100472	10090.ENSMUSP00000134570	10090.ENSMUSP00000041008	0	0	0	0.656	0.354	0.166	0.72	0.72	0.876
Fcer1g	Tyrobp	2106889	2098577	10090.ENSMUSP00000078875	10090.ENSMUSP00000032800	0	0	0	0	0.72	0	0	0.57	0.875
B2m	Hfe	2110238	2108241	10090.ENSMUSP00000099534	10090.ENSMUSP00000089298	0	0	0	0	0	0.111	0.72	0.539	0.875
Irf8	Sfpi1	2100337	2093346	10090.ENSMUSP00000040245	10090.ENSMUSP00000002180	0	0	0	0	0.147	0.111	0	0.84	0.868
Anxa2	S100a6	2099236	2093181	10090.ENSMUSP00000034756	10090.ENSMUSP00000001051	0	0	0	0	0.562	0.111	0	0.685	0.867
Ifit3	Rtp4	2110406	2100490	10090.ENSMUSP00000099889	10090.ENSMUSP00000041091	0	0	0	0	0.816	0	0	0.291	0.864
Gng7	Drd2	2108316	2106210	10090.ENSMUSP00000089936	10090.ENSMUSP00000075170	0	0	0	0	0.124	0.179	0.812	0.095	0.861
Cd14	Myd88	2103283	2099353	10090.ENSMUSP00000056669	10090.ENSMUSP00000035092	0	0	0	0	0.186	0	0.528	0.661	0.858
Hist1h4a	Hist1h2ag	2110468	2108257	10090.ENSMUSP00000100029	10090.ENSMUSP00000089335	0	0.002	0	0	0.355	0.39	0	0.662	0.855
Ube2c	Birc5	2107801	2106931	10090.ENSMUSP00000085581	10090.ENSMUSP00000079124	0	0	0	0	0.824	0	0	0.209	0.855
C1qa	Tyrobp	2101938	2098577	10090.ENSMUSP00000048836	10090.ENSMUSP00000032800	0	0	0	0	0.817	0	0	0.239	0.855
Adora2a	Gnal	2110683	2096283	10090.ENSMUSP00000101060	10090.ENSMUSP00000025402	0	0	0	0	0.104	0.059	0.822	0.143	0.854
Fcgr3	Cd14	2114228	2103283	10090.ENSMUSP00000131938	10090.ENSMUSP00000056669	0	0	0	0	0.359	0	0	0.78	0.853
Apoc1	Apoc2	2101317	2093455	10090.ENSMUSP00000045571	10090.ENSMUSP00000003074	0	0	0	0	0.345	0	0	0.785	0.853
Gfap	Aif1	2104563	2096236	10090.ENSMUSP00000064691	10090.ENSMUSP00000025257	0	0	0	0	0	0	0	0.848	0.848
Cd68	Tyrobp	2111140	2098577	10090.ENSMUSP00000104294	10090.ENSMUSP00000032800	0	0	0	0	0.811	0	0	0.217	0.846
Ccl7	Ccl4	2095042	2094607	10090.ENSMUSP00000021011	10090.ENSMUSP00000019074	0	0	0	0	0.528	0.099	0	0.662	0.844
Ifit3	Isg15	2110406	2107452	10090.ENSMUSP00000099889	10090.ENSMUSP00000082548	0	0	0	0	0.553	0.242	0	0.574	0.843
H2-T23	H2-Eb1	2110335	2106011	10090.ENSMUSP00000099739	10090.ENSMUSP00000074143	0	0	0	0.643	0.375	0.166	0.72	0.05	0.842
Gng13	Drd2	2112047	2106210	10090.ENSMUSP00000110760	10090.ENSMUSP00000075170	0	0	0	0	0	0.179	0.812	0.051	0.841
Gng13	Mapk12	2112047	2107875	10090.ENSMUSP00000110760	10090.ENSMUSP00000086207	0	0	0	0	0.088	0	0.831	0	0.84
Rtp4	Oasl2	2100490	2098226	10090.ENSMUSP00000041091	10090.ENSMUSP00000031542	0	0	0	0	0.804	0	0	0.209	0.839
Drd2	Gngt2	2106210	2101681	10090.ENSMUSP00000075170	10090.ENSMUSP00000047586	0	0	0	0	0	0.179	0.812	0	0.839
Gm5741	Drd2	2115071	2106210	10090.ENSMUSP00000136655	10090.ENSMUSP00000075170	0	0	0	0	0	0.179	0.812	0	0.839
Fn1	Vim	2102911	2097089	10090.ENSMUSP00000054499	10090.ENSMUSP00000028062	0	0	0	0	0.294	0	0	0.781	0.838
Ctss	Birc5	2112192	2106931	10090.ENSMUSP00000112006	10090.ENSMUSP00000079124	0	0	0	0	0	0	0.8	0.209	0.835
Gm5741	Adcy5	2115071	2112021	10090.ENSMUSP00000136655	10090.ENSMUSP00000110563	0	0	0	0	0	0	0.833	0	0.833
Rasd1	Gngt2	2102458	2101681	10090.ENSMUSP00000051959	10090.ENSMUSP00000047586	0	0	0	0	0	0.069	0.827	0	0.832
Gm5741	Rasd1	2115071	2102458	10090.ENSMUSP00000136655	10090.ENSMUSP00000051959	0	0	0	0	0	0.069	0.827	0	0.832
Gng7	Rasd1	2108316	2102458	10090.ENSMUSP00000089936	10090.ENSMUSP00000051959	0	0	0	0	0	0.069	0.827	0	0.832
Mapk12	Gngt2	2107875	2101681	10090.ENSMUSP00000086207	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.831	0.045	0.832
Gng13	Rasd1	2112047	2102458	10090.ENSMUSP00000110760	10090.ENSMUSP00000051959	0	0	0	0	0	0.069	0.827	0	0.832
Gng7	Mapk12	2108316	2107875	10090.ENSMUSP00000089936	10090.ENSMUSP00000086207	0	0	0	0	0	0	0.831	0	0.831
Gm5741	Mapk12	2115071	2107875	10090.ENSMUSP00000136655	10090.ENSMUSP00000086207	0	0	0	0	0	0	0.831	0	0.831
Fcer1g	Fcgr2b	2106889	2097058	10090.ENSMUSP00000078875	10090.ENSMUSP00000027966	0	0	0	0	0.389	0	0.528	0.461	0.831
Ccl7	Ccl2	2095042	2093070	10090.ENSMUSP00000021011	10090.ENSMUSP00000000193	0	0	0	0.917	0.818	0	0	0.78	0.83
Serpina3n	Sfpi1	2095198	2093346	10090.ENSMUSP00000021506	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.825	0.825
Hist2h4	Hist1h2ag	2113909	2108257	10090.ENSMUSP00000129930	10090.ENSMUSP00000089335	0	0.002	0	0	0.353	0.39	0	0.588	0.823
Cxcl10	Ccl12	2101692	2093071	10090.ENSMUSP00000047646	10090.ENSMUSP00000000194	0	0	0	0	0.359	0	0.397	0.572	0.82
Arg2	Arg1	2095215	2094779	10090.ENSMUSP00000021550	10090.ENSMUSP00000020161	0	0	0.527	0.969	0	0.111	0.8	0.505	0.82
Hbb-b2	Hbb-b1	2109278	2095990	10090.ENSMUSP00000095794	10090.ENSMUSP00000023934	0	0	0	0.989	0.139	0.8	0	0.28	0.82
Lgals1	Anxa2	2107949	2099236	10090.ENSMUSP00000086795	10090.ENSMUSP00000034756	0	0	0	0	0.532	0.494	0	0.302	0.82
Ctss	Mpeg1	2112192	2111721	10090.ENSMUSP00000112006	10090.ENSMUSP00000108573	0	0	0	0	0.819	0	0	0	0.819
H2-D1	H2-Aa	2114543	2101405	10090.ENSMUSP00000134570	10090.ENSMUSP00000046105	0	0	0	0.648	0.199	0.169	0.72	0.33	0.818
Hba-a1	Hba-a2	2108431	2108430	10090.ENSMUSP00000090897	10090.ENSMUSP00000090895	0	0	0	0.989	0.121	0.8	0	0.593	0.817
Fermt3	Itgb2	2099882	2093087	10090.ENSMUSP00000037858	10090.ENSMUSP00000000299	0	0	0	0	0.556	0.115	0	0.571	0.816
Spp1	Fn1	2107626	2102911	10090.ENSMUSP00000084043	10090.ENSMUSP00000054499	0	0	0	0	0.131	0	0	0.796	0.816
C1qa	Cfp	2101938	2093200	10090.ENSMUSP00000048836	10090.ENSMUSP00000001156	0	0	0	0	0.545	0	0	0.61	0.814
H2-Aa	H2-K1	2101405	2096205	10090.ENSMUSP00000046105	10090.ENSMUSP00000025181	0	0	0	0.647	0.175	0.169	0.72	0.322	0.812
H2-T23	H2-Ab1	2110335	2100472	10090.ENSMUSP00000099739	10090.ENSMUSP00000041008	0	0	0	0.66	0.211	0.166	0.72	0.193	0.81
Fcgr3	Fcer1g	2114228	2106889	10090.ENSMUSP00000131938	10090.ENSMUSP00000078875	0	0	0	0	0.449	0	0.428	0.443	0.809
Fcgr3	Itgb2	2114228	2093087	10090.ENSMUSP00000131938	10090.ENSMUSP00000000299	0	0	0	0	0.457	0	0.528	0.318	0.809
Mpeg1	Ly86	2111721	2095315	10090.ENSMUSP00000108573	10090.ENSMUSP00000021860	0	0	0	0	0.808	0	0	0	0.808
Gng13	Pde1b	2112047	2095738	10090.ENSMUSP00000110760	10090.ENSMUSP00000023132	0	0	0	0	0	0	0.8	0.068	0.805
C1qc	Tyrobp	2099670	2098577	10090.ENSMUSP00000036747	10090.ENSMUSP00000032800	0	0	0	0	0.76	0	0	0.223	0.805
Birc5	Ctsc	2106931	2098573	10090.ENSMUSP00000079124	10090.ENSMUSP00000032779	0	0	0	0	0	0	0.8	0.067	0.805
Ifit3	Ifi35	2110406	2094072	10090.ENSMUSP00000099889	10090.ENSMUSP00000010502	0	0	0	0	0.637	0	0	0.48	0.803
Col3a1	Fn1	2107752	2102911	10090.ENSMUSP00000085192	10090.ENSMUSP00000054499	0	0	0	0	0.356	0.528	0	0.405	0.803
Grm4	Avp	2113930	2099466	10090.ENSMUSP00000130092	10090.ENSMUSP00000035551	0	0	0	0	0.052	0	0.8	0.046	0.803
B2m	Cryba4	2110238	2107606	10090.ENSMUSP00000099534	10090.ENSMUSP00000083826	0	0	0	0	0	0.8	0	0	0.8
Hist1h2ao	Hist1h2ag	2108259	2108257	10090.ENSMUSP00000089339	10090.ENSMUSP00000089335	0	0	0	0.988	0	0.8	0	0	0.8
C3	Cfp	2096155	2093200	10090.ENSMUSP00000024988	10090.ENSMUSP00000001156	0	0	0	0	0.101	0.111	0.372	0.648	0.8
Birc5	Ctsz	2106931	2094362	10090.ENSMUSP00000079124	10090.ENSMUSP00000016400	0	0	0	0	0	0	0.8	0	0.8
Birc5	Ctsh	2106931	2099296	10090.ENSMUSP00000079124	10090.ENSMUSP00000034915	0	0	0	0	0	0	0.8	0	0.8
Hist1h4d	Hist1h2ag	2110471	2108257	10090.ENSMUSP00000100033	10090.ENSMUSP00000089335	0	0.002	0	0	0.337	0.39	0	0.544	0.799
Chi3l3	Retnla	2102803	2095795	10090.ENSMUSP00000053923	10090.ENSMUSP00000023329	0	0	0	0	0.091	0	0	0.788	0.799
Alox5ap	Tyrobp	2105450	2098577	10090.ENSMUSP00000071130	10090.ENSMUSP00000032800	0	0	0	0	0.777	0	0	0.127	0.797
H2-Aa	Vim	2101405	2097089	10090.ENSMUSP00000046105	10090.ENSMUSP00000028062	0	0	0	0	0	0.796	0	0	0.796
Ctss	Tyrobp	2112192	2098577	10090.ENSMUSP00000112006	10090.ENSMUSP00000032800	0	0	0	0	0.753	0	0	0.202	0.794
C1qb	Tyrobp	2100338	2098577	10090.ENSMUSP00000040246	10090.ENSMUSP00000032800	0	0	0	0	0.75	0	0	0.204	0.793
Tyrobp	Itgb2	2098577	2093087	10090.ENSMUSP00000032800	10090.ENSMUSP00000000299	0	0	0	0	0.719	0	0	0.296	0.793
Gabra5	Gabra2	2104362	2093123	10090.ENSMUSP00000063276	10090.ENSMUSP00000000572	0	0	0	0.978	0.113	0	0.773	0.535	0.793
Chi3l3	Arg1	2102803	2094779	10090.ENSMUSP00000053923	10090.ENSMUSP00000020161	0	0	0	0	0.086	0	0	0.782	0.792
Hist1h4d	Hist1h2ao	2110471	2108259	10090.ENSMUSP00000100033	10090.ENSMUSP00000089339	0	0.002	0	0	0.302	0.39	0	0.544	0.788
Hist1h4a	Hist1h2ao	2110468	2108259	10090.ENSMUSP00000100029	10090.ENSMUSP00000089339	0	0.002	0	0	0.302	0.39	0	0.544	0.788
Hist2h4	Hist1h2ao	2113909	2108259	10090.ENSMUSP00000129930	10090.ENSMUSP00000089339	0	0.002	0	0	0.302	0.39	0	0.544	0.788
Hist1h4b	Hist1h2ag	2110469	2108257	10090.ENSMUSP00000100030	10090.ENSMUSP00000089335	0	0.002	0	0	0.302	0.39	0	0.544	0.788
Hist1h4b	Hist1h2ao	2110469	2108259	10090.ENSMUSP00000100030	10090.ENSMUSP00000089339	0	0.002	0	0	0.302	0.39	0	0.544	0.788
Rac2	Hcls1	2099612	2095863	10090.ENSMUSP00000036384	10090.ENSMUSP00000023531	0	0	0	0	0.62	0.062	0.361	0.176	0.787
Spp1	Timp1	2107626	2094016	10090.ENSMUSP00000084043	10090.ENSMUSP00000009530	0	0	0	0	0.349	0	0	0.671	0.777
Gabra6	Gabra2	2113233	2093123	10090.ENSMUSP00000126114	10090.ENSMUSP00000000572	0	0	0	0.958	0	0	0.773	0.387	0.777
Tyrobp	Sfpi1	2098577	2093346	10090.ENSMUSP00000032800	10090.ENSMUSP00000002180	0	0	0	0	0.52	0	0	0.555	0.777
Timp1	Ccl2	2094016	2093070	10090.ENSMUSP00000009530	10090.ENSMUSP00000000193	0	0	0	0	0.461	0	0	0.603	0.777
Oasl2	Ifi35	2098226	2094072	10090.ENSMUSP00000031542	10090.ENSMUSP00000010502	0	0	0	0	0.641	0	0	0.404	0.777
Fn1	Ccl2	2102911	2093070	10090.ENSMUSP00000054499	10090.ENSMUSP00000000193	0	0	0	0	0.091	0	0	0.762	0.775
Gabra6	Gabra5	2113233	2104362	10090.ENSMUSP00000126114	10090.ENSMUSP00000063276	0	0	0	0.961	0	0	0.773	0.27	0.775
Tgm2	Fn1	2110183	2102911	10090.ENSMUSP00000099411	10090.ENSMUSP00000054499	0	0	0	0	0	0.111	0	0.756	0.774
H2-T23	H2-Aa	2110335	2101405	10090.ENSMUSP00000099739	10090.ENSMUSP00000046105	0	0	0	0	0.051	0.169	0.72	0.091	0.772
Fcgr3	C1qa	2114228	2101938	10090.ENSMUSP00000131938	10090.ENSMUSP00000048836	0	0	0	0	0.639	0	0	0.392	0.771
Fcgr3	Tyrobp	2114228	2098577	10090.ENSMUSP00000131938	10090.ENSMUSP00000032800	0	0	0	0	0.674	0	0	0.32	0.769
Ifit3	Irgm1	2110406	2102210	10090.ENSMUSP00000099889	10090.ENSMUSP00000050446	0	0	0	0	0.669	0	0	0.33	0.769
C1qa	Aif1	2101938	2096236	10090.ENSMUSP00000048836	10090.ENSMUSP00000025257	0	0	0	0	0.676	0	0	0.317	0.769
Hmox1	Ccl2	2093707	2093070	10090.ENSMUSP00000005548	10090.ENSMUSP00000000193	0	0	0	0	0.102	0	0	0.752	0.768
Cd68	Ccl2	2111140	2093070	10090.ENSMUSP00000104294	10090.ENSMUSP00000000193	0	0	0	0	0.159	0	0	0.733	0.766
Socs3	Ccl2	2103700	2093070	10090.ENSMUSP00000059129	10090.ENSMUSP00000000193	0	0	0	0	0.269	0	0	0.694	0.766
C4b	Cfp	2105191	2093200	10090.ENSMUSP00000069418	10090.ENSMUSP00000001156	0	0	0	0	0	0.105	0.372	0.615	0.765
Ifit3	Cxcl10	2110406	2101692	10090.ENSMUSP00000099889	10090.ENSMUSP00000047646	0	0	0	0	0.614	0	0	0.409	0.762
Cd53	Itgb2	2099503	2093087	10090.ENSMUSP00000035781	10090.ENSMUSP00000000299	0	0	0	0	0.662	0.044	0.212	0.177	0.762
Irf8	Ccl5	2100337	2100220	10090.ENSMUSP00000040245	10090.ENSMUSP00000039600	0	0	0	0	0.282	0	0	0.679	0.76
Tyrobp	Ly86	2098577	2095315	10090.ENSMUSP00000032800	10090.ENSMUSP00000021860	0	0	0	0	0.714	0	0	0.196	0.76
Cd14	Itgb2	2103283	2093087	10090.ENSMUSP00000056669	10090.ENSMUSP00000000299	0	0	0	0	0.397	0.111	0.362	0.376	0.758
Ctss	Cd53	2112192	2099503	10090.ENSMUSP00000112006	10090.ENSMUSP00000035781	0	0	0	0	0.71	0.072	0	0.171	0.758
Rac2	Itgb2	2099612	2093087	10090.ENSMUSP00000036384	10090.ENSMUSP00000000299	0	0	0	0	0.569	0.058	0.278	0.265	0.756
Lgals3bp	Usp18	2099471	2098409	10090.ENSMUSP00000035579	10090.ENSMUSP00000032198	0	0	0	0	0.726	0	0	0.134	0.753
Fn1	Lcn2	2102911	2102810	10090.ENSMUSP00000054499	10090.ENSMUSP00000053962	0	0	0	0	0	0.674	0	0.27	0.751
